ESTACION,Paradas
AEROPORT,R2N
ARC DE TRIOMF,"R1, R3, R4, R12, RG1"
ARENYS DE MAR,"R1, RG1"
BADALONA,"R1, RG1"
BALENYA-ELS HOSTALETS,R3
BALENYA-TONA-SEVA,R3
BARBERA DEL VALLES,R4
BARCELONA-CLOT-ARAGO,"R1, R2, R2N, R11, RG1"
BARCELONA-ESTACIO DE FRANÇA,"R2S, R13, R14, R15, R16, R17"
BARCELONA-PASSEIG DE GRACIA,"R2, R2N, R2S, R11, R13, R14, R15, R16, R17"
BARCELONA-SANT ANDREU,"R2, R2N, R11"
BARCELONA-SANTS,"R1, R2, R2N, R2S, R3, R4, R11, R12, R13, R14, R15,R16,R17, RG1"
BELLVITGE,"R2, R2N, R2S"
BLANES,"R1, RG1"
BORGONYA,R3
CABRERA DE MAR-VILASSAR DE MAR,"R1, RG1"
CALAFELL,R2S
CALDES D'ESTRAC,"R1, RG1"
CALELLA,"R1, RG1"
CAMPDEVANOL,R3
CANET DE MAR,"R1, RG1"
CARDEDEU,R2N
CASTELLBELL I EL VILAR-MONISTROL DE MONTSERRAT,R4
CASTELLBISBAL,"R4, R8"
CASTELLDEFELS,"R2, R2S"
CENTELLES,R3
CERDANYOLA DEL VALLES,"R4, R7"
CERDANYOLA UNIVERSITAT,"R7, R8"
CORNELLA,"R1, R4"
CUBELLES,R2S
CUNIT,R2S
EL MASNOU,"R1, RG1"
EL PAPIOL,R4
EL PRAT DE LLOBREGAT,"R2, R2N, R2S"
EL VENDRELL,R4
ELS MONJOS,R4
FIGARO,R3
GARRAF,R2S
GAVA,"R2, R2S, R13, R14, R15"
GELIDA,R4
GRANOLLERS-CANOVELLES,R3
GRANOLLERS-CENTRE,"R2, R2N, R8, R11"
GUALBA,"R2N, R11"
HOSTALRIC,"R2N, R11"
LA FARGA DE BEBIE,R3
LA GARRIGA,R3
LA GRANADA,R4
LA LLAGOSTA,"R2, R2N"
LA MOLINA,R3
LA SAGRERA-MERIDIANA,"R3, R4, R12"
L'ARBOÇ,R4
LAVERN-SUBIRATS,R4
LES FRANQUESES DEL VALLES,R3
LES FRANQUESES-GRANOLLERS NORD,R2N
L'HOSPITALET DE LLOBREGAT,"R1, R3, R4, R12, RG1"
LLINARS DEL VALLES,R2N
MAÇANET-MASSANES,"R1, R2N, R11, RG1"
MALGRAT DE MAR,"R1, RG1"
MANLLEU,R3
MANRESA,"R4, R12"
MARTORELL,"R4, R8"
MATARO,"R1, RG1"
MOLINS DE REI,"R1, R4"
MOLLET-SANT FOST,"R2, R2N, R8"
MOLLET-SANTA ROSA,R3
MONTCADA I REIXAC,"R2, R2N"
MONTCADA I REIXAC-MANRESA,"R4, R7"
MONTCADA I REIXAC-SANTA MARIA,"R4, R7"
MONTCADA-BIFURCACIO,"R3, R4, R7"
MONTCADA-RIPOLLET,R3
MONTGAT,"R1, RG1"
MONTGAT-NORD,"R1, RG1"
MONTMELO,"R2, R2N, R8"
OCATA,"R1, RG1"
PALAUTORDERA,R2N
PARETS DEL VALLES,R3
PINEDA DE MAR,"R1, RG1"
PLAÇA DE CATALUNYA,"R1, R3, R4, R12, RG1"
PLANOLES,R3
PLATJA DE CASTELLDEFELS,R2S
PREMIA DE MAR,"R1, RG1"
PUIGCERDA,R3
RIBES DE FRESER,R3
RIELLS I VIABREA-BREDA,"R2N, R11"
RIPOLL,R3
RUBI,R8
SABADELL CENTRE,"R4, R12"
SABADELL NORD,"R4, R12"
SABADELL SUD,"R4, R12"
SANT ADRIA DE BESOS,"R1, RG1"
SANT ANDREU ARENAL,"R3, R4, R7, R12"
SANT ANDREU DE LLAVANERES,"R1, RG1"
SANT CELONI,"R2N, R11"
SANT CUGAT DEL VALLES,R8
SANT FELIU DE LLOBREGAT,"R1, R4"
SANT JOAN DESPI,"R1, R4"
SANT MARTI DE CENTELLES,R3
SANT MIQUEL DE GONTERES,R4
SANT POL DE MAR,"R1, RG1"
SANT QUIRZE DE BESORA-MONTESQUIU,R3
SANT SADURNI D'ANOIA,R4
SANT VICENÇ DE CALDERS,"R2S, R4, R13,R14,R15,R16,R17"
SANT VICENÇ DE CASTELLET,"R4, R12"
SANTA PERPETUA DE MOGODA,R3
SANTA SUSANNA,"R1, RG1"
SEGUR DE CALAFELL,R2S
SITGES,"R2S, R13, R14, R15"
TERRASSA,"R4, R12"
TERRASSA EST,"R4, R12"
TORDERA,"R1, RG1"
TORELLO,R3
TORRE DEL BARO,"R3, R4, R7, R12"
TOSES,R3
URTX-ALP,R3
VACARISSES,R4
VACARISSES-TORREBLANCA,R4
VIC,R3
VILADECANS,"R2, R2S"
VILADECAVALLS,R4
VILAFRANCA DEL PENEDES,R4
VILANOVA I LA GELTRU,"R2S,R13,R14,R15,R16,R17"
VILASSAR DE MAR,"R1, RG1"