linea;estacion_inicio;estacion_final
R1;MOLINS DE REI;MAÇANET-MASSANES
R2;SANT VICENÇ DE CALDERS;MAÇANET-MASSANES
R2N;AEROPORT;MAÇANET-MASSANES
R2S;SANT VICENÇ DE CALDERS;BARCELONA-ESTACIO DE FRANÇA
R3;L'HOSPITALET DE LLOBREGAT;PUIGCERDA
R4;SANT VICENÇ DE CALDERS;MANRESA
R7;SANT ANDREU ARENAL;CERDANYOLA UNIVERSITAT
R8;CERDANYOLA UNIVERSITAT;GRANOLLERS-CENTRE
R11;BARCELONA-SANTS;MAÇANET-MASSANES
R12;L'HOSPITALET DE LLOBREGAT;MANRESA
R13;BARCELONA-ESTACIO DE FRANÇA;SANT VICENÇ DE CALDERS
R14;BARCELONA-ESTACIO DE FRANÇA;SANT VICENÇ DE CALDERS
R15;BARCELONA-ESTACIO DE FRANÇA;SANT VICENÇ DE CALDERS
R16;BARCELONA-ESTACIO DE FRANÇA;SANT VICENÇ DE CALDERS
R17;BARCELONA-SANTS;VILANOVA I LA GELTRU
RG1;L'HOSPITALET DE LLOBREGAT;MAÇANET-MASSANES